Mini Fabrica;Codigo Item;Descricao Item;Tipo Unidade;Codigo Cor;Descricao Cor;Tam;Deve (Abast);Necessidade (Min 1m);Saldo em Casa;Coberto Estimado;Falta Estimada;Cobertura (%);Origem do Saldo
Mini Fabrica - 10;114196;NAPA PELE STRECH PU 1.0 (MD O/I 2019)+VELVET;;101646;CHOCOLATE 1271/PRETO;;-0,006;1,0;0,0;0,0;1,0;0,0;nacional
Mini Fabrica - 10;128939;NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21) + SARJA 7030/40;;15758;PRETO 01/PRETO 01;;-20,889;20,889;68,0;20,889;0,0;100,0;nacional
Mini Fabrica - 10;128939;NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21) + SARJA 7030/40;;18215;BRANCO 99/CRU 20;;-0,751;1,0;25,0;1,0;0,0;100,0;nacional
Mini Fabrica - 10;138672;NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21)+VELVET;;100604;AVELA 1248/CREME 516;;-13,042;13,042;256,0;13,042;0,0;100,0;nacional
Mini Fabrica - 10;138672;NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21)+VELVET;;104327;VERDE SALVIA 1401/CREME 516;;-10,328;10,328;29,0;10,328;0,0;100,0;nacional
Mini Fabrica - 10;151481;CACHAREL RUN (MLK)+ESP PU 1,5 D30+SP 40GR ANTI-MICROBIANO;;26485;BRANCO 99/BRANCO 15/BRANCO 15;;-10,428;10,428;0,0;0,0;10,428;0,0;nacional
Mini Fabrica - 10;151481;CACHAREL RUN (MLK)+ESP PU 1,5 D30+SP 40GR ANTI-MICROBIANO;;59778;PRETO/BRANCO 15/PRETO 01;;-16,962;16,962;238,5;16,962;0,0;100,0;nacional
Mini Fabrica - 10;151481;CACHAREL RUN (MLK)+ESP PU 1,5 D30+SP 40GR ANTI-MICROBIANO;;108772;CAMEL 778/BRANCO 15- BRANCO 15;;-8,22;8,22;0,0;0,0;8,22;0,0;nacional
Mini Fabrica - 10;152117;NAPA FLOTER RUSTICO NEO 1.4(MLK O/I 17)+FILME TACK 40GR;;93244;BRANCO OFF 1132;;-10,547;10,547;15,5;10,547;0,0;100,0;nacional
Mini Fabrica - 10;157751;FORRO MILANO PU 0.7(B O/I 2014)+FILME PA 102/18;;15745;PRETO 01;;-2,658;2,658;0,0;0,0;2,658;0,0;nacional
Mini Fabrica - 10;157751;FORRO MILANO PU 0.7(B O/I 2014)+FILME PA 102/18;;101321;CHOCOLATE 1271;;-5,939;5,939;0,0;0,0;5,939;0,0;nacional
Mini Fabrica - 10;164097;NAPA FLOATHER CLASSIC NEO 1.45(ACT P/V 22/23);;15745;PRETO 01;;-9,832;9,832;7,0;7,0;2,8320000000000007;71,19609438567942;nacional
